0,1,2,3,4,5,6
0.0,0.0,0.0,0.0,0.0,74.0,82.0
0.0,0.0,0.0,0.0,0.0,82.0,239.0
0.0,0.0,0.0,0.0,0.0,239.0,119.0
0.0,0.0,0.0,0.0,0.0,119.0,302.0
0.0,0.0,0.0,0.0,0.0,302.0,148.0
0.0,0.0,0.0,0.0,0.0,148.0,270.0
0.0,0.0,0.0,0.0,0.0,270.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,65.0
0.0,0.0,0.0,0.0,0.0,65.0,302.0
0.0,0.0,0.0,0.0,0.0,302.0,200.0
0.0,0.0,0.0,0.0,0.0,200.0,207.0
0.0,0.0,0.0,0.0,0.0,207.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,167.0
0.0,0.0,0.0,0.0,0.0,167.0,75.0
0.0,0.0,0.0,0.0,0.0,75.0,169.0
0.0,0.0,0.0,0.0,0.0,169.0,9.0
0.0,0.0,0.0,0.0,0.0,9.0,6.0
0.0,0.0,0.0,0.0,0.0,6.0,302.0
0.0,0.0,0.0,0.0,0.0,302.0,285.0
0.0,0.0,0.0,0.0,0.0,285.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,74.0
0.0,0.0,0.0,0.0,0.0,74.0,82.0
0.0,0.0,0.0,0.0,0.0,82.0,32.0
0.0,0.0,0.0,0.0,0.0,32.0,263.0
0.0,0.0,0.0,0.0,0.0,263.0,157.0
0.0,0.0,0.0,0.0,0.0,157.0,58.0
0.0,0.0,0.0,0.0,0.0,58.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0,249.0
0.0,0.0,0.0,0.0,0.0,249.0,74.0
0.0,0.0,0.0,0.0,0.0,74.0,82.0
0.0,0.0,0.0,0.0,0.0,82.0,147.0
0.0,0.0,0.0,0.0,0.0,147.0,58.0
0.0,0.0,0.0,0.0,0.0,58.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0,249.0
0.0,0.0,0.0,0.0,0.0,249.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,74.0
0.0,0.0,0.0,0.0,0.0,74.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,183.0
0.0,0.0,0.0,0.0,0.0,183.0,8.0
0.0,0.0,0.0,0.0,0.0,8.0,180.0
0.0,0.0,0.0,0.0,0.0,180.0,302.0
0.0,0.0,0.0,0.0,0.0,302.0,29.0
0.0,0.0,0.0,0.0,0.0,29.0,218.0
0.0,0.0,0.0,0.0,0.0,218.0,8.0
0.0,0.0,0.0,0.0,0.0,8.0,180.0
0.0,0.0,0.0,0.0,0.0,180.0,302.0
0.0,0.0,0.0,0.0,0.0,302.0,31.0
0.0,0.0,0.0,0.0,0.0,31.0,120.0
0.0,0.0,0.0,0.0,0.0,120.0,8.0
0.0,0.0,0.0,0.0,0.0,8.0,180.0
0.0,0.0,0.0,0.0,0.0,180.0,302.0
0.0,0.0,0.0,0.0,0.0,302.0,92.0
0.0,0.0,0.0,0.0,0.0,92.0,40.0
0.0,0.0,0.0,0.0,0.0,40.0,293.0
0.0,0.0,0.0,0.0,0.0,293.0,8.0
0.0,0.0,0.0,0.0,0.0,8.0,180.0
0.0,0.0,0.0,0.0,0.0,180.0,302.0
0.0,0.0,0.0,0.0,0.0,302.0,185.0
0.0,0.0,0.0,0.0,0.0,185.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,105.0
0.0,0.0,0.0,0.0,0.0,105.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,290.0
0.0,0.0,0.0,0.0,0.0,290.0,272.0
0.0,0.0,0.0,0.0,0.0,272.0,5.0
0.0,0.0,0.0,0.0,0.0,5.0,302.0
0.0,0.0,0.0,0.0,0.0,302.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0,285.0
0.0,0.0,0.0,0.0,0.0,285.0,26.0
0.0,0.0,0.0,0.0,0.0,26.0,74.0
0.0,0.0,0.0,0.0,0.0,74.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,205.0
0.0,0.0,0.0,0.0,0.0,205.0,302.0
0.0,0.0,0.0,0.0,0.0,302.0,64.0
0.0,0.0,0.0,0.0,0.0,64.0,40.0
0.0,0.0,0.0,0.0,0.0,40.0,290.0
0.0,0.0,0.0,0.0,0.0,290.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,302.0
0.0,0.0,0.0,0.0,0.0,302.0,170.0
0.0,0.0,0.0,0.0,0.0,170.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,294.0
0.0,0.0,0.0,0.0,0.0,294.0,74.0
0.0,0.0,0.0,0.0,0.0,74.0,119.0
0.0,0.0,0.0,0.0,0.0,119.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,169.0
0.0,0.0,0.0,0.0,0.0,169.0,9.0
0.0,0.0,0.0,0.0,0.0,9.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,74.0
0.0,0.0,0.0,0.0,0.0,74.0,302.0
0.0,0.0,0.0,0.0,0.0,302.0,11.0
0.0,0.0,0.0,0.0,0.0,11.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,74.0
0.0,0.0,0.0,0.0,0.0,74.0,302.0
0.0,0.0,0.0,0.0,0.0,302.0,52.0
0.0,0.0,0.0,0.0,0.0,52.0,195.0
0.0,0.0,0.0,0.0,0.0,195.0,37.0
0.0,0.0,0.0,0.0,0.0,37.0,40.0
0.0,0.0,0.0,0.0,0.0,40.0,56.0
0.0,0.0,0.0,0.0,0.0,56.0,195.0
0.0,0.0,0.0,0.0,0.0,195.0,78.0
0.0,0.0,0.0,0.0,0.0,78.0,206.0
0.0,0.0,0.0,0.0,0.0,206.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,190.0
0.0,0.0,0.0,0.0,0.0,190.0,74.0
0.0,0.0,0.0,0.0,0.0,74.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,251.0
0.0,0.0,0.0,0.0,0.0,251.0,221.0
0.0,0.0,0.0,0.0,0.0,221.0,302.0
0.0,0.0,0.0,0.0,0.0,302.0,3.0
0.0,0.0,0.0,0.0,0.0,3.0,40.0
0.0,0.0,0.0,0.0,0.0,40.0,265.0
0.0,0.0,0.0,0.0,0.0,265.0,86.0
0.0,0.0,0.0,0.0,0.0,86.0,292.0
0.0,0.0,0.0,0.0,0.0,292.0,180.0
0.0,0.0,0.0,0.0,0.0,180.0,90.0
0.0,0.0,0.0,0.0,0.0,90.0,82.0
0.0,0.0,0.0,0.0,0.0,82.0,67.0
0.0,0.0,0.0,0.0,0.0,67.0,147.0
0.0,0.0,0.0,0.0,0.0,147.0,209.0
0.0,0.0,0.0,0.0,0.0,209.0,40.0
0.0,0.0,0.0,0.0,0.0,40.0,60.0
0.0,0.0,0.0,0.0,0.0,60.0,27.0
0.0,0.0,0.0,0.0,0.0,27.0,227.0
0.0,0.0,0.0,0.0,0.0,227.0,169.0
0.0,0.0,0.0,0.0,0.0,169.0,227.0
0.0,0.0,0.0,0.0,0.0,227.0,27.0
0.0,0.0,0.0,0.0,0.0,27.0,257.0
0.0,0.0,0.0,0.0,0.0,257.0,160.0
